Date,Weekly_Sales,Year,Month,Week,Rolling_Avg
2010-02-05,49750740.5,2010,2,5,
2010-02-12,48336677.63,2010,2,6,
2010-02-19,48276993.78,2010,2,7,
2010-02-26,43968571.13,2010,2,8,47583245.760000005
2010-03-05,46871470.3,2010,3,9,46863428.21
2010-03-12,45925396.51,2010,3,10,46260607.93
2010-03-19,44988974.64,2010,3,11,45438603.145
2010-03-26,44133961.05,2010,3,12,45479950.62499999
2010-04-02,50423831.26,2010,4,13,46368040.864999995
2010-04-09,47365290.44,2010,4,14,46728014.3475
2010-04-16,45183667.08,2010,4,15,46776687.457499996
2010-04-23,44734452.56,2010,4,16,46926810.335
2010-04-30,43705126.71,2010,4,17,45247134.1975
2010-05-07,48503243.52,2010,5,18,45531622.4675
2010-05-14,45330080.2,2010,5,19,45568225.7475
2010-05-21,45120108.06,2010,5,20,45664639.6225
2010-05-28,47757502.56,2010,5,21,46677733.58500001
2010-06-04,50188543.12,2010,6,22,47099058.485
2010-06-11,47826546.72,2010,6,23,47723175.115
2010-06-18,47622046.23,2010,6,24,48348659.6575
2010-06-25,46609036.29,2010,6,25,48061543.089999996
2010-07-02,48917484.5,2010,7,26,47743778.435
2010-07-09,47899529.37,2010,7,27,47762024.0975
2010-07-16,46243899.58,2010,7,28,47417487.434999995
2010-07-23,44888849.11,2010,7,29,46987440.64
2010-07-30,44630363.42,2010,7,30,45915660.37
2010-08-06,48204999.12,2010,8,31,45992027.807500005
2010-08-13,46464418.410000004,2010,8,32,46047157.515
2010-08-20,47060952.92,2010,8,33,46590183.4675
2010-08-27,45909740.44,2010,8,34,46910027.7225
2010-09-03,47194257.61,2010,9,35,46657342.345
2010-09-10,45634397.84,2010,9,36,46449837.2025
2010-09-17,43080726.51,2010,9,37,45454780.599999994
2010-09-24,41358514.41,2010,9,38,44316974.092499994
2010-10-01,42239875.87,2010,10,39,43078378.6575
2010-10-08,45102974.23,2010,10,40,42945522.754999995
2010-10-15,43149473.45,2010,10,41,42962709.49
2010-10-22,43066669.52,2010,10,42,43389748.2675
2010-10-29,43602830.95,2010,10,43,43730487.0375
2010-11-05,45781981.89,2010,11,44,43900238.9525
2010-11-12,46124800.83,2010,11,45,44644070.7975
2010-11-19,45125584.18,2010,11,46,45158799.462500006
2010-11-26,65821003.24,2010,11,47,50713342.535
2010-12-03,49909027.88,2010,12,48,51745104.032500006
2010-12-10,55666770.39,2010,12,49,54130596.4225
2010-12-17,61820799.85,2010,12,50,58304400.34
2010-12-24,80931415.6,2010,12,51,62082003.42999999
2010-12-31,40432519.0,2010,12,52,59712876.20999999
2011-01-07,42775787.77,2011,1,1,56490130.555
2011-01-14,40673678.04,2011,1,2,51203350.10250001
2011-01-21,40654648.03,2011,1,3,41134158.21
2011-01-28,39599852.99,2011,1,4,40925991.7075
2011-02-04,46153111.12,2011,2,5,41770322.545
2011-02-11,47336192.79,2011,2,6,43435951.2325
2011-02-18,48716164.12,2011,2,7,45451330.254999995
2011-02-25,44125859.84,2011,2,8,46582831.9675
2011-03-04,46980603.74,2011,3,9,46789705.122499995
2011-03-11,44627319.4,2011,3,10,46112486.775
2011-03-18,44872325.97,2011,3,11,45151527.237500004
2011-03-25,42876199.18,2011,3,12,44839112.072500005
2011-04-01,43458991.19,2011,4,13,43958708.935
2011-04-08,45887466.8,2011,4,14,44273745.785
2011-04-15,44973328.14,2011,4,15,44298996.3275
2011-04-22,48676692.06,2011,4,16,45749119.5475
2011-04-29,43530032.78,2011,4,17,45766879.945
2011-05-06,46861958.29,2011,5,18,46010502.8175
2011-05-13,45446144.82,2011,5,19,46128706.9875
2011-05-20,44046598.01,2011,5,20,44971183.474999994
2011-05-27,45293457.04,2011,5,21,45412039.54
2011-06-03,48771994.18,2011,6,22,45889548.5125
2011-06-10,47669734.66,2011,6,23,46445445.9725
2011-06-17,47447561.77,2011,6,24,47295686.9125
2011-06-24,45884094.58,2011,6,25,47443346.2975
2011-07-01,47578519.5,2011,7,26,47144977.6275
2011-07-08,47859263.78,2011,7,27,47192359.907500006
2011-07-15,45515929.92,2011,7,28,46709451.945
2011-07-22,45274411.39,2011,7,29,46557031.1475
2011-07-29,43683274.28,2011,7,30,45583219.8425
2011-08-05,48015466.97,2011,8,31,45622270.64
2011-08-12,46249569.21,2011,8,32,45805680.462500006
2011-08-19,46917347.62,2011,8,33,46216414.519999996
2011-08-26,47416948.45,2011,8,34,47149833.0625
2011-09-02,45376623.27,2011,9,35,46490122.1375
2011-09-09,46763227.53,2011,9,36,46618536.7175
2011-09-16,43793960.08,2011,9,37,45837689.8325
2011-09-23,42718096.73,2011,9,38,44662976.902499996
2011-09-30,42195830.81,2011,9,39,43867778.7875
2011-10-07,47211688.36,2011,10,40,43979893.995
2011-10-14,44374820.3,2011,10,41,44125109.05
2011-10-21,45818953.44,2011,10,42,44900323.2275
2011-10-28,45855821.05,2011,10,43,45815320.7875
2011-11-04,48655544.3,2011,11,44,46176284.77249999
2011-11-11,48474224.75,2011,11,45,47201135.885
2011-11-18,46438980.56,2011,11,46,47356142.665
2011-11-25,66593605.26,2011,11,47,52540588.7175
2011-12-02,49390556.49,2011,12,48,52724341.765
2011-12-09,55561147.7,2011,12,49,54496072.502500005
2011-12-16,60085695.94,2011,12,50,57907751.347500004
2011-12-23,76998241.31,2011,12,51,60508910.36
2011-12-30,46042461.04,2011,12,52,59671886.4975
2012-01-06,44955421.95,2012,1,1,57020455.06
2012-01-13,42023078.48,2012,1,2,52504800.695
2012-01-20,42080996.56,2012,1,3,43775489.5075
2012-01-27,39834974.67,2012,1,4,42223617.91500001
2012-02-03,46085608.09,2012,2,5,42506164.45
2012-02-10,50009407.92,2012,2,6,44502746.81
2012-02-17,50197056.96,2012,2,7,46531761.910000004
2012-02-24,45771506.57,2012,2,8,48015894.885000005
2012-03-02,46861034.97,2012,3,9,48209751.605
2012-03-09,47480454.11,2012,3,10,47577513.1525
2012-03-16,46901504.94,2012,3,11,46753625.14749999
2012-03-23,44993794.45,2012,3,12,46559197.1175
2012-03-30,45272862.02,2012,3,13,46162153.88
2012-04-06,53502315.87,2012,4,14,47667619.32000001
2012-04-13,46629261.41,2012,4,15,47599558.4375
2012-04-20,45072529.78,2012,4,16,47619242.269999996
2012-04-27,43716798.89,2012,4,17,47230226.4875
2012-05-04,47124197.93,2012,5,18,45635697.0025
2012-05-11,46925878.99,2012,5,19,45709851.39750001
2012-05-18,46823939.22,2012,5,20,46147703.75749999
2012-05-25,47892463.31,2012,5,21,47191619.8625
2012-06-01,48281649.72,2012,6,22,47480982.81
2012-06-08,49651171.78,2012,6,23,48162306.00749999
2012-06-15,48412110.7,2012,6,24,48559348.877500005
2012-06-22,47668284.97,2012,6,25,48503304.2925
2012-06-29,46597112.12,2012,6,26,48082169.8925
2012-07-06,51253021.88,2012,7,27,48482632.417500004
2012-07-13,46099732.1,2012,7,28,47904537.7675
2012-07-20,46059543.45,2012,7,29,47502352.3875
2012-07-27,44097154.97,2012,7,30,46877363.1
2012-08-03,47485899.56,2012,8,31,45935582.52
2012-08-10,47403451.04,2012,8,32,46261512.255
2012-08-17,47354452.05,2012,8,33,46585239.405
2012-08-24,47447323.6,2012,8,34,47422781.5625
2012-08-31,47159639.43,2012,8,35,47341216.53
2012-09-07,48330059.31,2012,9,36,47572868.5975
2012-09-14,44226038.65,2012,9,37,46790765.247499995
2012-09-21,44354547.11,2012,9,38,46017571.125
2012-09-28,43734899.4,2012,9,39,45161386.11749999
2012-10-05,47566639.31,2012,10,40,44970531.1175
2012-10-12,46128514.25,2012,10,41,45446150.0175
2012-10-19,45122410.57,2012,10,42,45638115.8825
2012-10-26,45544116.29,2012,10,43,46090420.105000004
